:START_ID,:END_ID,:TYPE,evidenceStatus
component-regulatory:secure-read-access-gdpr,component-type:secure-read-access,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-read-access-gdpr,regulation:gdpr,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-read-access-hipaa,component-type:secure-read-access,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-read-access-hipaa,regulation:hipaa,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-read-access-nist-800-53,component-type:secure-read-access,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-read-access-nist-800-53,regulation:nist-800-53,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-read-access-ccpa-cpra,component-type:secure-read-access,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-read-access-ccpa-cpra,regulation:ccpa-cpra,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-read-access-dora,component-type:secure-read-access,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-read-access-dora,regulation:dora,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-read-access-nis2,component-type:secure-read-access,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-read-access-nis2,regulation:nis2,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-write-access-gdpr,component-type:secure-write-access,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-write-access-gdpr,regulation:gdpr,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-write-access-hipaa,component-type:secure-write-access,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-write-access-hipaa,regulation:hipaa,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-write-access-nist-800-53,component-type:secure-write-access,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-write-access-nist-800-53,regulation:nist-800-53,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-write-access-ccpa-cpra,component-type:secure-write-access,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-write-access-ccpa-cpra,regulation:ccpa-cpra,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-write-access-dora,component-type:secure-write-access,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:secure-write-access-dora,regulation:dora,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:source-connectivity-hipaa,component-type:source-connectivity,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:source-connectivity-hipaa,regulation:hipaa,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:source-connectivity-nist-800-53,component-type:source-connectivity,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:source-connectivity-nist-800-53,regulation:nist-800-53,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:source-connectivity-dora,component-type:source-connectivity,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
component-regulatory:source-connectivity-dora,regulation:dora,REGULATORY_CONTEXT,CURATED_REGULATORY_RELEVANCE
component-regulatory:state-and-idempotency-nist-800-53,component-type:state-and-idempotency,MAPS_COMPONENT_TYPE,CURATED_REGULATORY_RELEVANCE
