:START_ID,:END_ID,:TYPE,evidenceStatus
regulation:stix,regulation-category:threat-intelligence,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:stix,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:stix,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:taxii,regulation-category:threat-intelligence,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:taxii,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:taxii,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:iso-42001,regulation-category:ai-governance,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:iso-42001,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:iso-42001,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:iso-23894,regulation-category:ai-governance,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:iso-23894,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:iso-23894,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:nist-ai-rmf,regulation-category:ai-governance,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:nist-ai-rmf,jurisdiction:us,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:nist-ai-rmf,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:nist-ai-rmf,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:cen-clc-jtc21,regulation-category:ai-governance,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:cen-clc-jtc21,jurisdiction:eu,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:cen-clc-jtc21,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:iso-5259,regulation-category:ai-governance,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:iso-5259,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:iso-5259,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:owasp-llm-top10,regulation-category:application-and-api-security,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:owasp-llm-top10,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:owasp-llm-top10,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:owasp-api-top10,regulation-category:application-and-api-security,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:owasp-api-top10,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:owasp-api-top10,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:owasp-asvs,regulation-category:application-and-api-security,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:owasp-asvs,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:owasp-asvs,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:owasp-samm,regulation-category:application-and-api-security,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:owasp-samm,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:owasp-samm,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:owasp-ml-top10,regulation-category:application-and-api-security,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:owasp-ml-top10,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:owasp-ml-top10,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:csa-ccm,regulation-category:cloud-and-certification,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:csa-ccm,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:csa-ccm,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:iso-27017,regulation-category:cloud-and-certification,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:iso-27017,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:iso-27017,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:bsi-c5,regulation-category:cloud-and-certification,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:bsi-c5,jurisdiction:eu,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:bsi-c5,jurisdiction:germany,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:bsi-c5,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:eu-cloud-coc,regulation-category:cloud-and-certification,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:eu-cloud-coc,jurisdiction:eu,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:eu-cloud-coc,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:soc2,regulation-category:audit-and-attestation,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:soc2,jurisdiction:us,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:soc2,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:soc2,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:isae-3402,regulation-category:audit-and-attestation,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:isae-3402,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:isae-3402,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:spdx,regulation-category:software-supply-chain,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:spdx,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:spdx,governance:foundation,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:cyclonedx,regulation-category:software-supply-chain,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:cyclonedx,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:cyclonedx,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:slsa,regulation-category:software-supply-chain,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:slsa,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:slsa,governance:foundation,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:sigstore,regulation-category:software-supply-chain,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:sigstore,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:sigstore,governance:foundation,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:in-toto,regulation-category:software-supply-chain,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:in-toto,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:in-toto,governance:foundation,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:gaia-x,regulation-category:data-spaces-and-sovereignty,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:gaia-x,jurisdiction:eu,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:gaia-x,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:dataspace-protocol,regulation-category:data-spaces-and-sovereignty,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:dataspace-protocol,jurisdiction:eu,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:dataspace-protocol,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:dssc-blueprint,regulation-category:data-spaces-and-sovereignty,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:dssc-blueprint,jurisdiction:eu,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:dssc-blueprint,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:ids-ram,regulation-category:data-spaces-and-sovereignty,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:ids-ram,jurisdiction:eu,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:ids-ram,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:saml,regulation-category:identity-and-access,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
